name,phone,cpf,email,tags
Bruno Gomes,+5562961504222,04344649532,,
Julia Moreira,+5517920781077,,lead2@example.com,
Lucas Santos,+5564910791041,94878079185,lead3@example.com,checkup
Diana Costa,+5568966008745,97703685631,lead4@example.com,
Gabriel Martins,+5531972722513,60718243030,lead5@example.com,
Vitor Costa,+5563922832877,,lead6@example.com,"ortho, urgent"
Julia Oliveira,+5513937141999,,,implant
Olivia Costa,+5537947530990,30394753127,lead8@example.com,"cleaning, checkup, returning"
Nicolas Lima,+5593923666347,53697976923,lead9@example.com,
Nicolas Souza,+5568935148734,23554555703,lead10@example.com,"ortho, implant, cleaning"
Olivia Barbosa,+5522981887870,40450867811,,ortho
Igor Costa,+5515987026766,34474736907,,"vip, whitening, cleaning"
Eduardo Ribeiro,+5587958747823,48110675840,,
Yasmin Lopes,+5567963375562,,lead14@example.com,
Samuel Ribeiro,+5561956617816,26688290898,lead15@example.com,"returning, implant, new-patient"
Ana Araújo,+5532935485193,,lead16@example.com,"implant, new-patient, vip"
Yasmin Silva,+5598918902511,81541826450,lead17@example.com,"urgent, cleaning"
Olivia Moreira,+5514951661444,24924855448,lead18@example.com,
Igor Rodrigues,+5595949358801,81130668452,lead19@example.com,"implant, checkup"
Yasmin Lopes,+5513966089371,,lead20@example.com,"implant, whitening"
Samuel Lima,+5541967866084,41007076658,lead21@example.com,
Yasmin Carvalho,+5534965533647,83088488694,,
Samuel Lima,+5575936323318,,lead23@example.com,braces
Helena Silva,+5522969996480,,lead24@example.com,checkup
Julia Rocha,+5577967079507,,lead25@example.com,"implant, returning, ortho"
Gabriel Rodrigues,+5571964271430,89507783601,lead26@example.com,"vip, braces, checkup"
Tatiana Ferreira,+5554970005044,,lead27@example.com,
Julia Pereira,+5562964636340,07917447952,lead28@example.com,"vip, implant, cleaning"
Maria Santos,+5587978314602,57759105240,lead29@example.com,
Samuel Moreira,+5513922101423,81396289640,lead30@example.com,cleaning
Diana Costa,+5551917194137,,lead31@example.com,"checkup, braces, returning"
Samuel Araújo,+5581920949219,07303608060,lead32@example.com,"new-patient, vip"
Nicolas Oliveira,+5564993015400,,lead33@example.com,"new-patient, cleaning"
Maria Rodrigues,+5574943898701,90344817601,lead34@example.com,"returning, whitening"
Igor Martins,+5545922210902,97688007470,lead35@example.com,
Helena Almeida,+5562993897480,46830833701,lead36@example.com,"braces, implant, new-patient"
Gabriel Martins,+5537994461590,00641379455,lead37@example.com,urgent
Fernanda Barbosa,+5588991314292,,lead38@example.com,
Pedro Rocha,+5579978494568,04078976077,,"whitening, braces, checkup"
Eduardo Rodrigues,+5548941806642,,,"cleaning, urgent"
Pedro Lopes,+5567948511077,07294560137,,
Ana Silva,+5528928602225,47070012977,lead42@example.com,"braces, implant, ortho"
Olivia Moreira,+5599988979733,,lead43@example.com,"ortho, urgent, cleaning"
Tatiana Ferreira,+5586964274061,35935464934,,"implant, checkup"
Eduardo Carvalho,+5567980998260,34145289676,lead45@example.com,"braces, urgent"
Bruno Carvalho,+5512956877211,66451802336,lead46@example.com,
Vitor Ribeiro,+5577991380262,71875820485,lead47@example.com,"urgent, ortho"
Samuel Lima,+5555951003683,,lead48@example.com,
Samuel Almeida,+5515914477658,53428300521,lead49@example.com,"new-patient, checkup, implant"
Carlos Souza,+5566923190226,,lead50@example.com,vip
Ana Rocha,+5562984985911,62145275606,lead51@example.com,"ortho, cleaning"
Helena Almeida,+5555991931875,24250845508,lead52@example.com,
Maria Costa,+5544980699334,81896056075,lead53@example.com,"implant, cleaning"
Rafaela Rocha,+5545978886156,12082038785,lead54@example.com,
